n =      5 | m =      5 | D = 0.00000000
n =      5 | m =     10 | D = 0.36514837
n =      5 | m =    100 | D = 0.37097041
n =      5 | m =    200 | D = 0.39755349
n =      5 | m =    400 | D = 0.37777778
n =      5 | m =    600 | D = 0.29690785
n =      5 | m =    800 | D = 0.30093023
n =      5 | m =   1000 | D = 0.33234430
n =      5 | m =  20000 | D = 0.34095775
n =      5 | m = 100000 | D = 0.32214226
n =     10 | m =      5 | D = 0.36514837
n =     10 | m =     10 | D = 0.00000000
n =     10 | m =    100 | D = 0.27136021
n =     10 | m =    200 | D = 0.29317636
n =     10 | m =    400 | D = 0.26549540
n =     10 | m =    600 | D = 0.36589586
n =     10 | m =    800 | D = 0.27891434
n =     10 | m =   1000 | D = 0.28004597
n =     10 | m =  20000 | D = 0.28232082
n =     10 | m = 100000 | D = 0.30577696
n =    100 | m =      5 | D = 0.37097041
n =    100 | m =     10 | D = 0.27136021
n =    100 | m =    100 | D = 0.00000000
n =    100 | m =    200 | D = 0.40824829
n =    100 | m =    400 | D = 0.33541020
n =    100 | m =    600 | D = 0.44747971
n =    100 | m =    800 | D = 0.43604918
n =    100 | m =   1000 | D = 0.35278116
n =    100 | m =  20000 | D = 0.27182129
n =    100 | m = 100000 | D = 0.36051979
n =    200 | m =      5 | D = 0.39755349
n =    200 | m =     10 | D = 0.29317636
n =    200 | m =    100 | D = 0.40824829
n =    200 | m =    200 | D = 0.00000000
n =    200 | m =    400 | D = 0.34641016
n =    200 | m =    600 | D = 0.87773382
n =    200 | m =    800 | D = 0.71151247
n =    200 | m =   1000 | D = 0.56803756
n =    200 | m =  20000 | D = 0.62338742
n =    200 | m = 100000 | D = 0.73041836
n =    400 | m =      5 | D = 0.37777778
n =    400 | m =     10 | D = 0.26549540
n =    400 | m =    100 | D = 0.33541020
n =    400 | m =    200 | D = 0.34641016
n =    400 | m =    400 | D = 0.00000000
n =    400 | m =    600 | D = 0.74877678
n =    400 | m =    800 | D = 0.75525934
n =    400 | m =   1000 | D = 0.35496479
n =    400 | m =  20000 | D = 0.46833979
n =    400 | m = 100000 | D = 0.71996151
n =    600 | m =      5 | D = 0.29690785
n =    600 | m =     10 | D = 0.36589586
n =    600 | m =    100 | D = 0.44747971
n =    600 | m =    200 | D = 0.87773382
n =    600 | m =    400 | D = 0.74877678
n =    600 | m =    600 | D = 0.00000000
n =    600 | m =    800 | D = 0.57863756
n =    600 | m =   1000 | D = 0.53576270
n =    600 | m =  20000 | D = 0.66050927
n =    600 | m = 100000 | D = 0.53605723
n =    800 | m =      5 | D = 0.30093023
n =    800 | m =     10 | D = 0.27891434
n =    800 | m =    100 | D = 0.43604918
n =    800 | m =    200 | D = 0.71151247
n =    800 | m =    400 | D = 0.75525934
n =    800 | m =    600 | D = 0.57863756
n =    800 | m =    800 | D = 0.00000000
n =    800 | m =   1000 | D = 0.53231674
n =    800 | m =  20000 | D = 0.62681122
n =    800 | m = 100000 | D = 0.29439540
n =   1000 | m =      5 | D = 0.33234430
n =   1000 | m =     10 | D = 0.28004597
n =   1000 | m =    100 | D = 0.35278116
n =   1000 | m =    200 | D = 0.56803756
n =   1000 | m =    400 | D = 0.35496479
n =   1000 | m =    600 | D = 0.53576270
n =   1000 | m =    800 | D = 0.53231674
n =   1000 | m =   1000 | D = 0.00000000
n =   1000 | m =  20000 | D = 0.53080352
n =   1000 | m = 100000 | D = 0.47419019
n =  20000 | m =      5 | D = 0.34095775
n =  20000 | m =     10 | D = 0.28232082
n =  20000 | m =    100 | D = 0.27182129
n =  20000 | m =    200 | D = 0.62338742
n =  20000 | m =    400 | D = 0.46833979
n =  20000 | m =    600 | D = 0.66050927
n =  20000 | m =    800 | D = 0.62681122
n =  20000 | m =   1000 | D = 0.53080352
n =  20000 | m =  20000 | D = 0.00000000
n =  20000 | m = 100000 | D = 1.60341511
n = 100000 | m =      5 | D = 0.32214226
n = 100000 | m =     10 | D = 0.30577696
n = 100000 | m =    100 | D = 0.36051979
n = 100000 | m =    200 | D = 0.73041836
n = 100000 | m =    400 | D = 0.71996151
n = 100000 | m =    600 | D = 0.53605723
n = 100000 | m =    800 | D = 0.29439540
n = 100000 | m =   1000 | D = 0.47419019
n = 100000 | m =  20000 | D = 1.60341511
n = 100000 | m = 100000 | D = 0.00000000
