n =      5 | m =      5 | D = 0.00000000
n =      5 | m =     10 | D = 1.09544512
n =      5 | m =    100 | D = 1.83303028
n =      5 | m =    200 | D = 1.71168865
n =      5 | m =    400 | D = 1.67222222
n =      5 | m =    600 | D = 1.68495204
n =      5 | m =    800 | D = 1.72477607
n =      5 | m =   1000 | D = 1.73086698
n =      5 | m =  20000 | D = 1.71641485
n =      5 | m = 100000 | D = 1.72877274
n =     10 | m =      5 | D = 1.09544512
n =     10 | m =     10 | D = 0.00000000
n =     10 | m =    100 | D = 0.93468517
n =     10 | m =    200 | D = 0.70979541
n =     10 | m =    400 | D = 0.74963406
n =     10 | m =    600 | D = 0.71611047
n =     10 | m =    800 | D = 0.77781746
n =     10 | m =   1000 | D = 0.73630063
n =     10 | m =  20000 | D = 0.74642717
n =     10 | m = 100000 | D = 0.74841046
n =    100 | m =      5 | D = 1.83303028
n =    100 | m =     10 | D = 0.93468517
n =    100 | m =    100 | D = 0.00000000
n =    100 | m =    200 | D = 0.77567175
n =    100 | m =    400 | D = 0.91678787
n =    100 | m =    600 | D = 0.94125043
n =    100 | m =    800 | D = 0.78960257
n =    100 | m =   1000 | D = 0.86765096
n =    100 | m =  20000 | D = 0.89626214
n =    100 | m = 100000 | D = 0.85337342
n =    200 | m =      5 | D = 1.71168865
n =    200 | m =     10 | D = 0.70979541
n =    200 | m =    100 | D = 0.77567175
n =    200 | m =    200 | D = 0.00000000
n =    200 | m =    400 | D = 0.92376043
n =    200 | m =    600 | D = 0.61237244
n =    200 | m =    800 | D = 0.50596443
n =    200 | m =   1000 | D = 0.46475800
n =    200 | m =  20000 | D = 0.70148675
n =    200 | m = 100000 | D = 0.71473626
n =    400 | m =      5 | D = 1.67222222
n =    400 | m =     10 | D = 0.74963406
n =    400 | m =    100 | D = 0.91678787
n =    400 | m =    200 | D = 0.92376043
n =    400 | m =    400 | D = 0.00000000
n =    400 | m =    600 | D = 0.52930772
n =    400 | m =    800 | D = 0.89814624
n =    400 | m =   1000 | D = 0.82825117
n =    400 | m =  20000 | D = 0.90004412
n =    400 | m = 100000 | D = 1.01377447
n =    600 | m =      5 | D = 1.68495204
n =    600 | m =     10 | D = 0.71611047
n =    600 | m =    100 | D = 0.94125043
n =    600 | m =    200 | D = 0.61237244
n =    600 | m =    400 | D = 0.52930772
n =    600 | m =    600 | D = 0.00000000
n =    600 | m =    800 | D = 0.69436507
n =    600 | m =   1000 | D = 0.66486214
n =    600 | m =  20000 | D = 0.59132072
n =    600 | m = 100000 | D = 0.80982496
n =    800 | m =      5 | D = 1.72477607
n =    800 | m =     10 | D = 0.77781746
n =    800 | m =    100 | D = 0.78960257
n =    800 | m =    200 | D = 0.50596443
n =    800 | m =    400 | D = 0.89814624
n =    800 | m =    600 | D = 0.69436507
n =    800 | m =    800 | D = 0.00000000
n =    800 | m =   1000 | D = 0.44798934
n =    800 | m =  20000 | D = 0.57550145
n =    800 | m = 100000 | D = 0.54484278
n =   1000 | m =      5 | D = 1.73086698
n =   1000 | m =     10 | D = 0.73630063
n =   1000 | m =    100 | D = 0.86765096
n =   1000 | m =    200 | D = 0.46475800
n =   1000 | m =    400 | D = 0.82825117
n =   1000 | m =    600 | D = 0.66486214
n =   1000 | m =    800 | D = 0.44798934
n =   1000 | m =   1000 | D = 0.00000000
n =   1000 | m =  20000 | D = 0.58789576
n =   1000 | m = 100000 | D = 0.62931678
n =  20000 | m =      5 | D = 1.71641485
n =  20000 | m =     10 | D = 0.74642717
n =  20000 | m =    100 | D = 0.89626214
n =  20000 | m =    200 | D = 0.70148675
n =  20000 | m =    400 | D = 0.90004412
n =  20000 | m =    600 | D = 0.59132072
n =  20000 | m =    800 | D = 0.57550145
n =  20000 | m =   1000 | D = 0.58789576
n =  20000 | m =  20000 | D = 0.00000000
n =  20000 | m = 100000 | D = 1.42009389
n = 100000 | m =      5 | D = 1.72877274
n = 100000 | m =     10 | D = 0.74841046
n = 100000 | m =    100 | D = 0.85337342
n = 100000 | m =    200 | D = 0.71473626
n = 100000 | m =    400 | D = 1.01377447
n = 100000 | m =    600 | D = 0.80982496
n = 100000 | m =    800 | D = 0.54484278
n = 100000 | m =   1000 | D = 0.62931678
n = 100000 | m =  20000 | D = 1.42009389
n = 100000 | m = 100000 | D = 0.00000000
